,word,reading,meaning
4324,直径,ちょっけい,1. diameter$
4325,再現,さいげん,1. reappearance; reemergence; return; revival$2. reproduction; reenactment; recreation$
4326,制覇,せいは,1. conquest; domination; mastery$
4327,独,どく,1. Germany$
4328,独,どく,1. Doku$
4329,立ち上げる,たちあげる,1. to start (something); to start up; to boot (a computer); to launch (a business)$
4330,推測,すいそく,1. guess; conjecture$
4331,出席,しゅっせき,1. attendance; presence; appearance$2. to attend; to be present; to appear$
4332,ステークス,ステクス,1. stakes$
4333,私立,しりつ,1. private (establishment)$
4334,かも,かも,1. may; might; perhaps; may be; possibly$
4335,向く,むく,"1. to turn toward; to look (up, down, etc.)$2. to face (e.g. east); to look out on$3. to point to$4. to be suited to; to be fit for$5. to go in the direction of; to lean towards (of a feeling)$"
4336,弱い,よわい,1. weak; frail; delicate; tender; unskilled; weak (wine)$
4337,リニューアル,リニュアル,1. renovation; overhaul; update; repair; improvement; renewal$
4338,空襲,くうしゅう,1. air-raid$2. Airstrike$
4339,短縮,たんしゅく,1. shortening; contraction; reduction; curtailment; abbreviation$
4340,ハード,ハド,1. hard; tough$2. hardware$3. hard disk$
4341,人種,じんしゅ,1. race (of people)$2. type of person$3. Race (human classification)$
4342,布,ぬの,1. cloth$2. bujian (spade-shaped bronze coin of ancient China)$
4343,布,ぬの,1. Nuno$
4344,詳しい,くわしい,1. detailed; full; accurate$2. knowing very well; well-acquainted; well-informed$
4345,ポスト,ポスト,1. postbox; mail box; pillar box$2. post; position$3. post (e.g. goalpost)$4. post- (e.g. post-Cold War)$5. Post$
4346,安打,あんだ,1. safe hit$2. Hit (baseball)$
4347,方言,ほうげん,1. dialect$2. Dialect$
4348,質量,しつりょう,1. mass$2. Mass$
4349,牡馬,ぼば,1. male horse$
4350,ワイン,ワイン,1. wine$2. Wine$
4351,受け取る,うけとる,1. to receive; to get; to accept$2. to take; to interpret; to understand$
4352,踊る,おどる,1. to dance (orig. a hopping dance)$
4353,レーダー,レダ,1. radar$2. Radar$
4354,夜間,やかん,1. night; nighttime$
4355,東映,とうえい,1. Touei$
4356,地図,ちず,1. map$2. Map$
4357,南海,なんかい,1. southern sea$2. South Sea$
4358,南海,なんかい,1. Nankai$
4359,歯,は,1. tooth$2. Human tooth$
4360,ダブルス,ダブルス,"1. doubles (tennis, badminton, etc.)$"
4361,ブラウン,ブラウン,1. brown$
4362,打者,だしゃ,1. batter$
4363,満州,まんしゅう,1. Manchuria$2. Manshuu$3. Manchuria$
4364,菌,きん,1. fungus$2. germ; bacterium; bacillus$
4365,非難,ひなん,1. criticism; blame; censure; attack; reproach$
4366,相談,そうだん,1. consultation; discussion; discussing; asking (somebody) for advice$
4367,印象,いんしょう,1. impression$
4368,印象,いんしょう,1. Inshou$
4369,寄せる,よせる,"1. to come near; to let someone approach$2. to bring near; to bring together; to collect; to gather$3. to deliver (opinion, news, etc.); to send (e.g. a letter); to contribute; to donate$4. to let someone drop by$5. to add (numbers)$6. to have feelings for (love, goodwill, trust, etc.)$7. to rely upon for a time; to depend on$8. to use as a pretext$9. to put aside$10. to press; to push; to force$11. to include; to welcome (in a group); to let in$"
4370,暫定,ざんてい,1. provisional; temporary; tentative$
4371,約束,やくそく,1. promise; agreement; arrangement; one's word; contract; pact; appointment; engagement; date$2. convention; rule$3. destiny; fate$
4372,約束,やくそく,1. Yakusoku$
4373,下院,かいん,1. lower house; lower legislative chamber$2. Lower house$
4374,ナポレオン,ナポレン,1. Napoleon$2. napoleon (Japanese card game)$3. Napoleon$
4375,共産,きょうさん,1. communism$2. Communist Party$
4376,ナンバー,ナンバ,1. number$2. number plate; license plate$
4377,肩,かた,1. shoulder$2. Shoulder$
4378,肩,かた,1. Kata$
4379,観察,かんさつ,1. observation; survey; watching$
4380,運航,うんこう,"1. operating (e.g. ships, aircraft)$"
4381,管区,かんく,1. jurisdiction$
4382,雇用,こよう,1. employment (long term); hire$
4383,多摩,たま,1. Tama$
4384,選定,せんてい,1. selection$
4385,キャンプ,キャンプ,1. camp$2. Camping$
4386,題材,だいざい,1. subject; theme$
4387,鉱山,こうざん,1. mine (ore)$2. Kouzan$
4388,ラウンド,ラウンド,"1. round (esp. in sports, negotiations, etc.); rounds (e.g. nurse, security guard, etc.)$2. Round$"
4389,外務,がいむ,1. foreign affairs$
4390,勲章,くんしょう,1. decoration; order; medal$2. Order (honour)$
4391,アート,アト,1. art$
4392,容量,ようりょう,1. capacity; volume$2. capacitance$3. Capacity$
4393,材,ざい,1. wood; lumber; timber$2. (raw) material; stuff; ingredients$3. talent; ability; capable person$
4394,ヒトラー,ヒトラ,1. Hitler$
4395,猿,さる,"1. monkey (esp. the Japanese macaque, Macaca fuscata); ape; non-human primate$2. sly person$3. idiot; hick$4. sliding wooden bolt (for holding a door or window shut)$5. clasp used to control the height of a pot-hook$6. bathhouse prostitute$7. Sarh (Chad); Sal$8. Monkey$"
4396,猿,ましら,"1. monkey (esp. the Japanese macaque, Macaca fuscata); ape; non-human primate$"
4397,猿,さる,1. Saru$
4398,牽引,けんいん,1. traction; towing; hauling; pulling; drawing$2. driving (e.g. economic growth)$
4399,晩年,ばんねん,1. one's later years; final years (in life)$
4400,学名,がくめい,1. scientific name; technical name; binomial name; Latin name$2. Binomial nomenclature$
4401,助教授,じょきょうじゅ,1. assistant professor; associate professor$
4402,文部,もんぶ,"1. Ministry of Education, Science and Culture (1871-2001)$2. Radical 67$"
4403,育てる,そだてる,1. to raise; to rear; to bring up$2. to train; to teach; to educate$3. to promote the growth of; to nurture; to foster; to develop$
4404,英雄,えいゆう,"1. hero; heroine; great person$2. Eroica Symphony (Beethoven, 1804)$3. Heroic Polonaise (Chopin)$"
4405,英雄,えいゆう,1. Eiyuu$
4406,ヘビー,ヘビ,1. heavy$
4407,任じる,にんじる,1. to appoint; to nominate$2. to assume (responsibility)$3. to pose as$
4408,解除,かいじょ,1. cancellation; rescinding; release; calling off; lifting (sanctions); delisting$2. Rescission$
4409,一貫,いっかん,"1. consistency; coherence; integration$2. one kan (approx. 3.75 kg, 8.3 lb)$3. one piece of sushi$"
4410,一貫,いっかん,1. Ikkan$
4411,ツール,ツル,"1. tool (esp. software, etc.)$2. tour (e.g. Tour de France)$3. Toul (France); Tours (France)$"
4412,調べる,しらべる,1. to examine; to look up; to investigate; to check up; to sense; to study; to inquire; to search$
4413,簡易,かんい,1. simplicity; convenience; easiness; quasi-$
4414,柔道,じゅうどう,1. judo$2. Judo$
4415,フロント,フロント,"1. front (aspect, weather, war-front, etc.)$2. reception (e.g. in a hotel); front desk$3. front office; team management$4. Front$"
4416,駐車,ちゅうしゃ,1. parking (e.g. car)$2. Parking$
4417,着用,ちゃくよう,"1. wearing (e.g. uniform, seat belt); having on$"
4418,偵察,ていさつ,1. scouting; reconnaissance$2. Reconnaissance$
4419,米軍,べいぐん,1. US armed forces$
4420,移植,いしょく,"1. transplanting (plants, organs, culture, etc.); transplant; grafting$2. porting (software)$"
4421,祐,ゆう,1. Yuu$
4422,幼少,ようしょう,1. infancy; childhood; tender age$
4423,構内,こうない,1. premises; grounds; campus; compound; precincts$
4424,東宝,,1. Toho$
4425,東宝,とうほう,1. Touhou$
4426,審議,しんぎ,1. deliberation$
4427,相撲,すもう,1. sumo wrestling$2. wrestler; rikishi$3. Sumo$
4428,相撲,すもう,1. Sumou$
4429,表彰,ひょうしょう,1. public acknowledgment; public acknowledgement; public recognition; commendation; awarding$
4430,犠牲,ぎせい,1. sacrifice; victim; scapegoat$2. sacrifice (to the gods)$
4431,前面,ぜんめん,1. front part; frontage; facade$2. initial pledge (e.g. election); opening slogan$
4432,フィリップ,フリプ,1. fillip; Philip$2. Philip$
4433,繋ぐ,つなぐ,1. to connect; to link together$2. to tie; to fasten; to restrain$3. to maintain; to preserve; to keep$4. to transfer (phone call); to put a person through$5. to hedge; to buy or sell forward$
4434,魔,ま,1. demon; devil; evil spirit; evil influence$2. someone who (habitually) performs some (negative) act$
4435,魔,ま,1. Ma$
4436,放棄,ほうき,"1. abandonment; renunciation; resignation; abdication (responsibility, right)$"
4437,広域,こういき,1. wide area$2. wide view (of a digitally displayed map); zoomed-out view$
4438,不動産,ふどうさん,1. real estate$
4439,東海道,とうかいどう,1. Tokaido (Edo-period Edo-Kyoto highway)$2. Toukaidou$3. Tōkaidō (region)$
4440,法学,ほうがく,1. law; jurisprudence$
4441,奏者,そうしゃ,1. instrumentalist; player$
4442,診断,しんだん,1. diagnosis; medical examination$2. Medical diagnosis$
4443,没する,ぼっする,1. to sink; to go down; to set$2. to pass away; to die$3. to disappear; to vanish$4. to confiscate$
4444,不満,ふまん,1. dissatisfaction; displeasure; discontent; complaints; unhappiness; disgruntled$
4445,運賃,うんちん,1. (passenger) fare$2. freight rates; shipping expenses$3. Fare$
4446,白人,はくじん,1. white person; Caucasian$2. beginner; amateur$3. unlicensed prostitute$
4447,って,て,1. you said; he said; she said; they said$2. if ... then$3. do you seriously think that$4. I already told you; you should know by now that; of course$5. the said ...; said ...$6. says that ...$7. I hear that ...$8. as for the term ...$9. as for ...$10. Te (kana)$
4448,次に,つぎに,1. next; then; after that$
4449,農,のう,1. farming; agriculture$
4450,農,のう,1. Nou$
4451,番人,ばんにん,1. guard; watchman$
4452,動員,どういん,1. mobilization; mobilisation$2. Mobilization$
4453,市町村,しちょうそん,"1. cities, towns and villages; municipalities$2. Municipalities of Japan$"
4454,君主,くんしゅ,1. ruler; monarch; sovereign$2. Monarch$
4455,国連,こくれん,1. United Nations; UN$
4456,船舶,せんぱく,1. vessel; ship; shipping; seacraft$
4457,詰まる,つまる,"1. to be packed (with); to be full (space, schedule, etc.)$2. to be blocked (road, pipe, nose, etc.); to be clogged; to be plugged up$3. to shorten (width, interval, etc.); to shrink (shirt, word form, etc.); to narrow$4. to be at a loss; to be hard pressed$5. to end up; to be settled$6. to become a geminate consonant$7. to hit the ball near the handle of the bat$"
4458,毛利,もうり,1. Mouri$
4459,決議,けつぎ,1. resolution; vote; decision$
4460,当局,とうきょく,1. authorities; relevant authorities; authorities concerned$2. this office$
4461,運輸,うんゆ,1. transportation$
4462,メッセージ,メセジ,1. message$
4463,クロアチア,クロアチア,1. Croatia$2. Croatia$3. Croatia$
4464,事例,じれい,1. example; precedent; case$
4465,人形,にんぎょう,1. doll; puppet; figure$2. Ningyou$3. Doll$
4466,損傷,そんしょう,1. damage; injury$2. Injury$
4467,フロリダ,フロリダ,1. Florida$2. Florida$
4468,録,ろく,1. record; transcript$
4469,甲板,かんぱん,1. deck (of a ship)$
4470,甲板,こういた,"1. top board (of a table, counter, etc.); surface$"
4471,神学,しんがく,1. theology$2. Theology$
4472,見解,けんかい,1. opinion; point of view$
4473,会館,かいかん,1. meeting hall; assembly hall$2. Kongsi$
4474,請求,せいきゅう,1. claim; demand; charge; application; request; billing (for a service)$
4475,源氏,げんじ,1. Genji (the character in the Genji Monogatari)$2. the Minamoto family$3. Minamoto clan$
4476,源氏,げんじ,1. Genji$
4477,対決,たいけつ,1. confrontation; showdown$
4478,宮殿,きゅうでん,1. palace$2. Palace$
4479,鋼,はがね,1. steel$2. Steel$
4480,鋼,はがね,1. Hagane$
4481,自主,じしゅ,1. independence; autonomy; self-reliance$
4482,内外,ないがい,1. inside and outside; interior and exterior$2. inside and outside the country; home and abroad; domestic and foreign$3. around; about; approximately$
4483,コミックス,コミクス,1. comics$
4484,国軍,こくぐん,1. national armed forces$
4485,運河,うんが,1. (navigable) canal; waterway$2. Unga$3. Canal$
4486,双,そう,1. pair$
4487,双,そう,1. Sou$
4488,トレード,トレド,1. trade$2. Trade (sports)$
4489,退団,たいだん,"1. leaving (a group, team, etc.)$"
4490,提示,ていじ,1. presentation; exhibit; suggest; citation$
4491,停留所,ていりゅうじょ,"1. stop (bus, tram, etc.); station; stopping place$"
4492,背,せい,1. height; stature$
4493,背,せ,1. back; spine$2. reverse; rear side$3. height; stature$4. ridge (of a mountain)$
4494,月間,げっかん,1. month-long period; (during) month$
4495,労,ろう,1. labor; labour; toil; trouble; pains; work; effort; striving$
4496,労,ろう,1. Rou$
4497,天体,てんたい,1. heavenly body; celestial body; astronomical object$2. Astronomical object$
4498,脇,わき,1. armpit; under one's arm; side; flank$2. beside; close to; near; by$3. aside; to the side; away; out of the way$4. off-track; off-topic$5. deuteragonist; supporting role$6. second verse (in a linked series of poems)$
4499,脇,わき,1. Waki$
4500,厚い,あつい,1. thick; deep; heavy$2. kind; cordial; hospitable; warm; faithful$3. serious (of an illness)$4. abundant$
4501,高原,こうげん,1. tableland; plateau$
4502,高原,たかはら,1. Takahara$
4503,シングルス,シングルス,"1. singles (tennis, badminton, etc.)$2. single people; unmarried people$3. singles (musical album)$4. Singles$"
4504,敗戦,はいせん,1. defeat; lost battle; losing a war$
4505,混合,こんごう,1. mixing; mixture; meld$2. miscegenation$
4506,児,じ,1. child; boy$2. I; me$
4507,缶,缶かん,1. can; tin$2. canned food$3. Tin can$
4508,缶,かま,1. boiler$
4509,缶,ほとぎ,"1. fat-bodied, small-mouthed earthenware jar for carrying water$2. water vessel used for a baby's first bath$"
4510,伝承,でんしょう,1. handing down (information); legend; tradition; folklore; transmission$2. Folklore$
4511,ラグビー,ラグビ,1. rugby$2. Rugby (Britain); Wragby (Britain)$3. Rugby football$
4512,総理,そうり,1. prime minister (as the head of a cabinet government); premier$2. leading; overseeing; leader; overseer; president$
4513,刺,し,1. calling card$
4514,剛,ごう,1. strong; hard; manly$
4515,剛,つよし,1. Tsuyoshi$
4516,デザイナー,デザイナ,1. designer$2. Designer$
4517,艦長,かんちょう,1. captain (of a warship)$
4518,最新,さいしん,1. latest; newest; late-breaking (news)$
4519,養成,ようせい,1. training; education; development; cultivation$
4520,アラブ首長国連邦,アラブしゅちょうこくれんぽう,1. United Arab Emirates; UAE$2. United Arab Emirates$3. United Arab Emirates$
4521,ボス,ボス,"1. boss; leader; head$2. difficult enemy in a video game, usu. found at the end of a level or game$3. Voss; Vos$4. Boss$"
4522,蓮,はす,1. sacred lotus (Nelumbo nucifera); Indian lotus; lotus$2. rose of Sharon (Hibiscus syriacus)$3. Nelumbo nucifera$
4523,蓮,はちす,1. Hachisu$
4524,敷く,しく,1. to spread out; to lay out$2. to take a position$3. to impose widely (e.g. over a city)$
4525,大気,たいき,1. atmosphere$2. magnanimity; generosity$
4526,航路,こうろ,1. (air or sea) route; course; line; run$
4527,応用,おうよう,1. (practical) application; putting to practical use$2. applied$
4528,署名,しょめい,1. signature$2. Signature$
4529,牧,まき,1. pasture; grazing land$
4530,牧,まき,1. Maki$
4531,土曜日,どようび,1. Saturday$2. Saturday$
4532,獣,けもの,1. beast; brute; animal$2. Beast$
4533,獣,しし,"1. beast (esp. one used for its meat, such as a boar or a deer)$2. hunting (of animals such as boar, deer, etc.)$"
4534,酸素,さんそ,1. oxygen (O)$2. Oxygen$
4535,解,かい,1. solution (of equation)$
4536,解,かい,1. Kai$
4537,上流,じょうりゅう,1. upper stream; upper course; upper reaches$2. upstream$3. upper classes$
4538,間隔,かんかく,1. space; interval$2. space character; whitespace$
4539,搭乗,とうじょう,"1. embarkation; boarding (an aeroplane, airplane)$2. Boarding (transport)$"
4540,マスター,マスタ,"1. to master (a skill)$2. proprietor; manager; owner; barkeeper$3. leader; chief; head$4. master (of arts, science, etc.)$5. master (recording)$6. master (device)$7. Master$"
4541,乗客,じょうきゃく,1. passenger$
4542,東方,とうほう,1. eastern direction$2. the Orient$3. eastern fighter in a match (e.g. sumo wrestling)$
4543,東方,とうほう,1. Touhou$
4544,駐屯,ちゅうとん,1. stationing (troops); occupancy$
4545,黒人,こくじん,1. black person$2. woman in the nightlife business; demimondaine; geisha and prostitutes$
4546,寛永,かんえい,1. Kan'ei era (1624.2.30-1644.12.16)$2. Kan'ei$
4547,寛永,かんえい,1. Kan'ei$
4548,明るい,あかるい,"1. light; well-lit; well-lighted$2. bright (of a colour); brightly-coloured; brightly-colored$3. cheerful; bright; spirited; sunny (e.g. disposition)$4. encouraging (for the future of a project, etc.); promising; of fair prospects$5. familiar (with); knowledgeable (about); well versed (in)$6. fair (e.g. politics); clean; impartial$"
4549,薄い,うすい,"1. thin$2. pale; light; faint$3. watery; thin; dilute$4. weak (taste, etc.); little (affection, etc.) not much (of a presence)$5. slim (probability, etc.); small$6. sparse; patchy; scattered$"
4550,新田,しんでん,1. new rice field; newly developed rice field$2. wasteland or marshland newly reclaimed as a rice field (Edo period)$
4551,新田,にった,1. Nitta$
4552,ボックス,ボクス,"1. box$2. box (in theatre); booth (in restaurant, etc.)$3. small rectangular building (e.g. telephone box)$4. rectangular field area (batter's box, catcher's box)$5. box (calfskin)$6. central 4x4 area (othello)$"
4553,賢,けん,1. intelligence; genius; scholarship; virtue$
4554,賢,かしこ,1. Kashiko$
4555,使える,つかえる,1. to be usable; to be serviceable; to be useful$
4556,口径,こうけい,1. aperture; bore; calibre; caliber$2. Caliber$
4557,合唱,がっしょう,1. chorus; singing in a chorus$2. Choir$
4558,日常,にちじょう,1. everyday; daily; ordinary; usual; routine; regular$
4559,突破,とっぱ,1. breaking through; breakthrough; penetration$2. surmounting; overcoming$3. exceeding; passing$
4560,突破,とっぱ,1. Toppa$
4561,厚生,こうせい,1. welfare; public welfare; social welfare$2. (former) Ministry of Health and Welfare$3. Wohlfahrt$
4562,厚生,こうせい,1. Kousei$
4563,乗せる,のせる,"1. to place on (something)$2. to give (someone) a ride; to give a lift; to pick up; to help on board$3. to load (luggage); to carry; to take on board$4. to send out (on the airwaves, etc.)$5. to deceive; to take for a ride$6. to (sing) along with (musical accompaniment)$7. to let (someone) take part$8. to excite (someone)$9. to publish (an article); to run (an ad)$"
4564,音源,おんげん,1. sound source; sound generator; tone generator$2. Sound generator$
4565,取れる,とれる,"1. to come off; to be removed$2. (of pain, a fever, etc.) to disappear$3. to be caught; to be harvested$4. to be interpreted (as); to be taken as$5. (of balance, etc.) to be attained$6. to be obtainable$"
4566,軽量,けいりょう,1. light weight$
4567,探偵,たんてい,1. detective; sleuth; investigator$2. Detective$
4568,プロセス,プロセス,1. process$2. Process (computing)$
4569,歩く,あるく,1. to walk$
4570,価,か,1. valence; valency$
4571,業績,ぎょうせき,1. achievement; performance; results; work; contribution$
4572,回す,まわす,"1. to turn; to rotate; to spin; to twist; to gyrate$2. to pass around; to send around; to hand around; to circulate$3. to move (someone or something to where its needed); to send; to bring; to transfer; to forward; to direct; to submit$4. to turn (to a new use); to use (for something else)$5. to turn on (something that turns or has a rotating part, e.g. a washing machine); to start up (e.g. an engine); to give (something) a spin$6. to put (someone in a position); to make (e.g. an enemy of)$7. to ... around (e.g. chase, fool, play); to do all over; to do everywhere; to do completely$8. to surround (something) with; to enclose with$9. to put (an arm) around (e.g. someone's waist); to reach around$10. to invest (money); to lend$11. to dial (a telephone number)$12. to gang-rape$"
4573,一時的,いちじてき,1. temporary$
4574,当てる,あてる,1. to hit$2. to expose$3. to apply (e.g. patch); to put on; to put against; to hold on; to hold against$4. to allot; to call on someone (e.g. in class)$5. to guess (an answer)$6. to make a hit (e.g. in a lottery)$
4575,粒子,りゅうし,1. particle; grain$
4576,農民,のうみん,1. farmer; peasant$
4577,日曜日,にちようび,1. Sunday$2. Sunday$
4578,宇都宮,うつのみや,1. Utsunomiya$
4579,評議,ひょうぎ,1. conference; discussion$
4580,ワイド,ワイド,1. wide$2. Wide$
4581,投稿,とうこう,"1. contribution (to a newspaper, magazine, etc.); submission; post (on a forum, blog, etc.)$"
4582,前提,ぜんてい,1. condition; assumption; prerequisite; hypothesis$2. intention; intent; aim; goal$3. premise (in logic)$4. Presupposition$
4583,町村,ちょうそん,1. towns and villages$
4584,バージニア,バジニア,1. Virginia$2. Virginia$
4585,寝る,ねる,"1. to lie down$2. to go to bed; to lie in bed$3. to sleep (lying down)$4. to sleep (with someone, i.e. have intercourse)$5. to lie idle$"
4586,演じる,えんじる,1. to perform (a play); to play (a part); to act (a part); to commit (a blunder)$
4587,右衛門,うえもん,1. Uemon$
4588,切り替える,きりかえる,1. to change; to exchange; to convert; to renew; to throw a switch; to replace; to switch over$
4589,検察,けんさつ,1. examination; investigation; prosecution$
4590,戦術,せんじゅつ,1. tactics$2. Tactic (method)$
4591,会計,かいけい,1. account; finance; accountant; treasurer; paymaster; reckoning; bill$2. Accountancy$
4592,数値,すうち,"1. numerical value; numerics$2. reading (on a meter, etc.)$"
4593,入賞,にゅうしょう,1. winning a prize or place (in a contest)$
4594,ショップ,ショプ,1. shop$
4595,日曜,にちよう,1. Sunday$
4596,現行,げんこう,1. present; current; in operation$
4597,水域,すいいき,1. waters; water area$2. Body of water$
4598,疑う,うたがう,1. to doubt; to distrust; to be suspicious of; to suspect$
4599,ダービー,ダビ,1. derby (horse race)$2. Japan Derby$3. battle (for first place); competition; contest; race$4. derby (match); local derby$5. Derby (Australia); D'Arby; Darby$
4600,弥,いや,1. more and more; increasingly$2. extremely; very$
4601,弥,わたる,1. Wataru$
4602,課題,かだい,1. subject; theme; issue; matter$2. homework; assignment$3. task; challenge; problem; question$
4603,後部,こうぶ,1. rear; stern$
4604,消す,けす,1. to erase; to delete; to cross out$2. to turn off power$3. to extinguish; to put out$4. to bump off$
4605,見つける,みつける,1. to discover; to find (e.g. an error in a book); to come across; to detect; to spot$2. to locate; to find (e.g. something missing); to find fault$3. to be used to seeing; to be familiar with$
4606,逆転,ぎゃくてん,1. (sudden) change; reversal; turn-around; coming from behind (baseball)$
4607,著しい,いちじるしい,1. striking; remarkable; considerable$
4608,瀬戸,せと,1. strait; channel$2. Seto$
4609,瀬戸,せと,1. Seto$
4610,レストラン,レストラン,1. restaurant (esp. Western-style)$2. Restaurant$
4611,頻繁,ひんぱん,1. frequent; incessant$
4612,従兄弟,いとこ,1. cousin (male)$
4613,欲しい,ほしい,1. wanted; wished for; in need of; desired$2. I want (you) to$
4614,山城,やまじろ,1. mountain castle$2. Rocca (architecture)$
4615,山城,やましろ,1. Yamashiro$
4616,演技,えんぎ,1. acting; performance$
4617,パフォーマンス,パフマンス,"1. performance (e.g. music, dance, pantomime, etc.)$"
4618,山陽,さんよう,1. south side of a mountain; Sanyo district$
4619,山陽,さんよう,1. San'you$
4620,ペア,ペア,1. pair$2. pair-oared boat$3. pear$4. Pair$
4621,報,ほう,1. information; news; report$
4622,中日,ちゅうにち,1. China and Japan$2. the middle day$3. the equinoctial day$
4623,中日,なかび,"1. middle day (e.g sumo tournament, run of theatrical performances, etc.)$"
4624,中日,ちゅうにち,1. Chuunichi$
4625,義塾,ぎじゅく,1. private school$
4626,衰退,すいたい,1. decline; degeneration; decay; waning; ebbing$
4627,官僚,かんりょう,1. bureaucrat; government official; bureaucracy$2. Bureaucrat$
4628,商人,しょうにん,1. merchant; trader; tradesman; dealer; shopkeeper$2. Akindo$3. Merchant$
4629,宮廷,きゅうてい,1. imperial court; royal court$
4630,会見,かいけん,1. interview; audience; meeting; (viewing) party$
4631,恋愛,れんあい,1. love; love-making; passion; emotion; affections$2. Falling in love$
4632,新型,しんがた,1. new type; new style; new model; new strain (e.g. infectious disease)$
4633,町名,ちょうめい,1. name of a town or street$
4634,降格,こうかく,1. demotion$
4635,悩む,なやむ,1. to be worried; to be troubled$
4636,教員,きょういん,1. teacher; instructor; teaching staff; faculty member$2. Teacher$
4637,開校,かいこう,1. opening a school$
4638,判,はん,1. seal; stamp; monogram signature$2. judgment; judgement$3. size (of paper or books)$
4639,判,ばん,1. Ban$
4640,確率,かくりつ,1. probability; likelihood; chances$2. Probability$
4641,環状,かんじょう,1. annulation; ring shape; loop shape$
4642,オンライン,ンライン,1. online$2. Online and offline$
4643,互換,ごかん,1. interchange$2. transposition$3. compatible (e.g. PC)$
4644,官,かん,1. government service; the bureaucracy$
4645,官,つかさ,1. office; official$2. chief; head$3. (Yaeyama Islands in Okinawa) person (usually a woman) whose duty it is to officiate at religions ceremonies$
4646,官,かん,1. Kan$
4647,マラソン,マラソン,1. marathon; long-distance race$2. malathion$3. Marathon$
4648,黄金,おうごん,1. gold (Au)$2. golden; prosperous; excellent; superb$3. money (esp. ōban coin); cash$4. Gold$
4649,黄金,おうごん,1. Ougon$
4650,黄金,こがね,1. gold$2. gold coin$3. gold colour (color)$4. Kogane Station$
4651,裕,ひろし,1. Hiroshi$
4652,豪,ごう,1. Australia$
4653,豪,ごう,1. Gou$
4654,客車,きゃくしゃ,1. passenger car$
4655,反映,はんえい,"1. reflection (light, image, situation, attitude, etc.); reflecting$2. influence; application (e.g. of an update)$"
4656,征服,せいふく,1. conquest; subjugation; overcoming$
4657,コート,コト,1. coat$2. coating$
4658,コート,コト,"1. court (e.g. tennis, basketball, volleyball)$"
4659,水戸,みと,1. Mito$
4660,浴びる,あびる,"1. to dash over oneself (e.g. water); to take (e.g. shower); to bask in (e.g. the sun); to bathe in; to be flooded with (e.g. light); to be covered in$2. to suffer (e.g. an attack); to draw (e.g. criticism, attention, praise); to have heaped upon; to be showered with$"
4661,通勤,つうきん,1. commuting to work$2. Commuting$
4662,人数,にんずう,1. the number of people$2. many people; a large number of people$
4663,挿入,そうにゅう,1. insertion; incorporation; infixing$
4664,楽章,がくしょう,1. (musical) movement$2. Movement (music)$
4665,車種,しゃしゅ,1. car model$2. type of (wheeled) vehicle; vehicle classification$
4666,褐色,かっしょく,1. dark brown; colour of tanned skin$
4667,褐色,かちいろ,1. dark indigo (almost black)$
4668,適切,てきせつ,1. pertinent; appropriate; adequate; relevance$
4669,顕,けん,1. exposure; clarity$2. exoteric Buddhism; public Buddhist teachings$
4670,時刻,じこく,1. instant; time; moment$
4671,宏,ひろし,1. Hiroshi$
4672,芸人,げいにん,1. entertainer (esp. in a traditional art); performer; artiste$2. talented person; accomplished person$
4673,終盤,しゅうばん,1. endgame; final stage$
4674,前方,ぜんぽう,1. forward; frontward; ahead$2. rectangular front$
4675,前方,まえかた,1. previously; some time ago$
4676,疾患,しっかん,1. disease; ailment; illness$
4677,気づく,きづく,1. to notice; to recognize; to recognise; to become aware of; to perceive; to realize; to realise$
4678,飼育,しいく,1. breeding; raising; rearing$
4679,事前,じぜん,1. prior; beforehand; in advance; before the fact; ex ante$
4680,グランド,グランド,"1. large$2. gland$3. ground (e.g. land, electrical, base material of textiles, etc.)$4. Grand$"
4681,圧縮,あっしゅく,1. compression; condensation; constriction; compaction$2. Compression$
4682,握る,にぎる,"1. to clasp; to grasp; to grip; to clutch$2. to make (nigirizushi, rice ball, etc.); to form; to press into shape; to mold; to mould$3. to seize (power, etc.); to take hold of$"
4683,横断,おうだん,1. crossing; traversing$2. traversing horizontally; passing west to east (or east to west)$3. cutting horizontally$
4684,ヤング,ヤング,1. young$2. youth; young person$3. Young (Australia); Yang; Yong; Yonge$4. Young (surname)$
4685,届く,とどく,1. to reach; to arrive; to get through; to get at$2. to be attentive; to pay attention$3. to be delivered; to carry (e.g. sound)$
4686,元禄,げんろく,1. Genroku era (1688.9.30-1704.3.13)$2. Genroku$
4687,元禄,げんろく,1. Genroku$
4688,バイオリン,バイリン,1. violin$2. Violin$
4689,稼働,かどう,1. operation (of machine); operating; running; working$
4690,インターナショナル,インタナショナル,1. international$
4691,中断,ちゅうだん,1. interruption; suspension; break$
4692,内戦,ないせん,1. civil war$2. Civil war$
4693,恐らく,おそらく,1. perhaps; likely; probably; I dare say$
4694,割る,わる,"1. to divide$2. to cut; to halve; to separate; to split; to rip$3. to break; to crack; to smash$4. to dilute$5. to fall below$6. to discount$7. to step over (a line, etc.)$"
4695,循環,じゅんかん,1. circulation; rotation; cycle; loop$
4696,豊か,ゆたか,1. abundant; wealthy; plentiful; rich; affluent$2. very; extremely; full of; great$
4697,青山,せいざん,1. lush mountain; green mountain$2. grave; burial place$
4698,青山,あおやま,1. Aoyama$
4699,若者,わかもの,1. young man; young woman; young people; youth; youngsters$
